index,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Region,Activity Type Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Price_Category,GEO_Summary
0,200507,ATA Airlines,TZ,ATA Airlines,TZ,US,Deplaned,International,B,27271,Deplaned,27271,2005,July,Economy,Domestic
1,200507,ATA Airlines,TZ,ATA Airlines,TZ,US,Enplaned,International,B,29131,Enplaned,29131,2005,July,Business,International
2,200507,ATA Airlines,TZ,ATA Airlines,TZ,US,Thru / Transit,Terminal 3,B,5415,Thru / Transit * 2,10830,2005,July,First class,Domestic
3,200507,Air Canada ,AC,Air Canada ,AC,Canada,Deplaned,International,B,35156,Deplaned,35156,2005,July,Business,Domestic
4,200507,Air Canada ,AC,Air Canada ,AC,Canada,Enplaned,Terminal 2,B,34090,Enplaned,34090,2005,July,First class,International
5,200507,Air China,CA,Air China,CA,Asia,Deplaned,International,G,6263,Deplaned,6263,2005,July,Business,Domestic
6,200507,Air China,CA,Air China,CA,Asia,Enplaned,International,G,5500,Enplaned,5500,2005,July,First class,International
7,200507,Air France,AF,Air France,AF,Europe,Deplaned,Terminal 1,A,12050,Deplaned,12050,2005,July,First class,International
8,200507,Air France,AF,Air France,AF,Europe,Enplaned,International,A,11638,Enplaned,11638,2005,July,Economy,International
9,200507,Air New Zealand,NZ,Air New Zealand,NZ,Australia / Oceania,Deplaned,International,G,4998,Deplaned,4998,2005,July,Business,International
10,200507,Air New Zealand,NZ,Air New Zealand,NZ,Australia / Oceania,Enplaned,International,G,4962,Enplaned,4962,2005,July,First class,Domestic
11,200507,AirTran Airways,FL,AirTran Airways,FL,US,Deplaned,Terminal 3,A,8055,Deplaned,8055,2005,July,Business,International
12,200507,AirTran Airways,FL,AirTran Airways,FL,US,Enplaned,Terminal 1,A,7984,Enplaned,7984,2005,July,Business,International
13,200507,Alaska Airlines,AS,Alaska Airlines,AS,US,Deplaned,Terminal 1,A,36641,Deplaned,36641,2005,July,First class,International
14,200507,Alaska Airlines,AS,Alaska Airlines,AS,US,Enplaned,International,A,39379,Enplaned,39379,2005,July,First class,Domestic
15,200507,Alaska Airlines,AS,Alaska Airlines,AS,US,Thru / Transit,Terminal 3,A,3678,Thru / Transit * 2,7356,2005,July,Business,Domestic
16,200507,Alaska Airlines,AS,Alaska Airlines,AS,Canada,Deplaned,International,A,7977,Deplaned,7977,2005,July,First class,Domestic
17,200507,Alaska Airlines,AS,Alaska Airlines,AS,Canada,Enplaned,International,A,8837,Enplaned,8837,2005,July,Economy,International
18,200507,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Deplaned,Terminal 2,A,6969,Deplaned,6969,2005,July,First class,International
19,200507,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Enplaned,Terminal 4,A,10046,Enplaned,10046,2005,July,First class,International
20,200507,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Thru / Transit,Terminal 4,A,2266,Thru / Transit * 2,4532,2005,July,Business,Domestic
21,200507,All Nippon Airways,NH,All Nippon Airways,NH,Asia,Deplaned,Terminal 3,G,6545,Deplaned,6545,2005,July,Business,Domestic
22,200507,All Nippon Airways,NH,All Nippon Airways,NH,Asia,Enplaned,International,G,6094,Enplaned,6094,2005,July,Business,International
23,200507,American Airlines,AA,American Airlines,AA,US,Deplaned,Terminal 1,E,166577,Deplaned,166577,2005,July,First class,International
24,200507,American Airlines,AA,American Airlines,AA,US,Enplaned,Terminal 3,E,160890,Enplaned,160890,2005,July,First class,International
25,200507,American Eagle Airlines,MQ,American Airlines,AA,US,Deplaned,Terminal 3,E,5493,Deplaned,5493,2005,July,First class,International
26,200507,American Eagle Airlines,MQ,American Airlines,AA,US,Enplaned,International,E,5213,Enplaned,5213,2005,July,First class,Domestic
27,200507,Asiana Airlines,OZ,Asiana Airlines,OZ,Asia,Deplaned,International,A,5041,Deplaned,5041,2005,July,First class,Domestic
28,200507,Asiana Airlines,OZ,Asiana Airlines,OZ,Asia,Enplaned,International,A,4744,Enplaned,4744,2005,July,Business,International
29,200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,US,Deplaned,Terminal 4,C,1552,Deplaned,1552,2005,July,Business,Domestic
30,200507,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,US,Enplaned,International,C,1484,Enplaned,1484,2005,July,Economy,Domestic
31,200507,BelAir Airlines,4T,BelAir Airlines,4T,Europe,Deplaned,International,A,325,Deplaned,325,2005,July,Economy,Domestic
32,200507,BelAir Airlines,4T,BelAir Airlines,4T,Europe,Enplaned,Terminal 1,A,545,Enplaned,545,2005,July,First class,Domestic
33,200507,British Airways,BA,British Airways,BA,Europe,Deplaned,Terminal 3,A,20632,Deplaned,20632,2005,July,First class,International
34,200507,British Airways,BA,British Airways,BA,Europe,Enplaned,Terminal 4,A,21686,Enplaned,21686,2005,July,First class,International
35,200507,Cathay Pacific,CX,Cathay Pacific,CX,Asia,Deplaned,Terminal 1,A,11010,Deplaned,11010,2005,July,Economy,Domestic
36,200507,Cathay Pacific,CX,Cathay Pacific,CX,Asia,Enplaned,Terminal 1,A,9628,Enplaned,9628,2005,July,Economy,International
37,200507,China Airlines,CI,China Airlines,CI,Asia,Deplaned,International,A,13638,Deplaned,13638,2005,July,First class,Domestic
